patch_id,source_image_id,split,original_image_height,original_image_width,patch_row,patch_col,patch_height,patch_width,glacier_pixel_count,background_pixel_count,glacier_percentage,kept_or_filtered,padding_applied,padding_bottom,padding_right,padding_pixels,mean_B2,std_B2,mean_B3,std_B3,mean_B4,std_B4,mean_B8,std_B8,mean_B11,std_B11,mean_B12,std_B12,mean_NDVI,std_NDVI,mean_NDWI,std_NDWI,mean_NDSI,std_NDSI,mean_Elev,std_Elev,mean_Slope,std_Slope,mean_Aspect,std_Aspect
0004_r0064_c0096,0004,train,136,133,64,96,64,64,297,3799,7.251,kept,True,24,27,7512,0.570347,0.046848,0.558035,0.042033,0.554327,0.039087,0.5469,0.035564,0.303678,0.027474,0.260222,0.034291,-0.006548,0.009564,0.009687,0.011927,0.29463,0.058885,4620.64209,31.851017,21.467247,10.363994,132.026459,59.022945
0004_r0096_c0000,0004,train,136,133,96,0,64,64,173,3923,4.2236,kept,True,24,27,7512,0.666638,0.052509,0.649083,0.050043,0.642318,0.047852,0.619757,0.04414,0.301984,0.018208,0.247142,0.01645,-0.017458,0.008272,0.022516,0.009513,0.357421,0.065671,4815.227539,81.055099,30.171688,10.135397,132.82547,64.469452
0004_r0096_c0032,0004,train,136,133,96,32,64,64,719,3377,17.5537,kept,True,24,27,7512,0.677797,0.034799,0.659805,0.03402,0.65259,0.03253,0.63241,0.029374,0.304024,0.019587,0.243813,0.01318,-0.015619,0.007761,0.021071,0.008772,0.368901,0.035273,4732.830078,39.428734,25.545099,12.680508,121.891815,82.654404
0004_r0096_c0064,0004,train,136,133,96,64,64,64,817,3279,19.9463,kept,True,24,27,7512,0.635031,0.049269,0.618852,0.046885,0.613508,0.044244,0.601225,0.037437,0.307757,0.019349,0.246174,0.015843,-0.009776,0.009179,0.013974,0.011147,0.334604,0.042934,4661.201172,67.82373,26.408749,11.633141,112.121849,61.490845
0004_r0096_c0096,0004,train,136,133,96,96,64,64,271,3825,6.6162,kept,True,24,27,7512,0.594113,0.033336,0.579051,0.030578,0.575311,0.028482,0.569449,0.0243,0.306536,0.016162,0.244199,0.018311,-0.004961,0.008798,0.008114,0.010448,0.307343,0.032044,4596.735352,44.61488,26.486813,7.138756,132.37114,47.373302
0007_r0000_c0000,0007,train,81,104,0,0,64,64,1386,2710,33.8379,kept,True,15,24,3864,0.615024,0.052589,0.607112,0.049505,0.605377,0.047574,0.587811,0.041629,0.264176,0.038418,0.227233,0.0318,-0.014231,0.008957,0.015514,0.010797,0.390082,0.080211,4834.128906,81.40863,24.523203,15.039679,85.695755,57.604237
0007_r0000_c0032,0007,train,81,104,0,32,64,64,1467,2629,35.8154,kept,True,15,24,3864,0.564376,0.05171,0.557995,0.048579,0.557075,0.046282,0.544634,0.040272,0.250958,0.035096,0.21432,0.030799,-0.010922,0.010135,0.011572,0.011948,0.379713,0.07236,4745.35791,44.616619,16.054277,7.904978,96.583817,72.465401
0007_r0000_c0064,0007,train,81,104,0,64,64,64,352,3744,8.5938,kept,True,15,24,3864,0.529456,0.035323,0.525312,0.033113,0.525766,0.031425,0.516731,0.02753,0.256951,0.036378,0.223054,0.036153,-0.008473,0.010468,0.00794,0.0115,0.344819,0.067246,4700.256836,32.39513,16.08901,9.408275,107.947479,77.268669
0007_r0032_c0000,0007,train,81,104,32,0,64,64,1032,3064,25.1953,kept,True,15,24,3864,0.646102,0.076935,0.637745,0.074962,0.634494,0.073063,0.610622,0.063905,0.248929,0.029838,0.227112,0.026089,-0.018348,0.008535,0.020751,0.00996,0.430376,0.08089,4868.399414,81.736351,25.677811,10.980338,84.579849,44.666542
0007_r0032_c0032,0007,train,81,104,32,32,64,64,999,3097,24.3896,kept,True,15,24,3864,0.575055,0.058547,0.566757,0.056505,0.563913,0.0551,0.5494,0.047549,0.231129,0.022814,0.209192,0.022538,-0.012514,0.009899,0.014913,0.011208,0.419249,0.050833,4769.735352,39.06361,16.337774,7.088117,100.611404,67.699265
0007_r0032_c0064,0007,train,81,104,32,64,64,64,204,3892,4.9805,kept,True,15,24,3864,0.530643,0.037969,0.523314,0.035368,0.521338,0.033566,0.513007,0.030164,0.227637,0.021071,0.202565,0.01903,-0.007873,0.009831,0.009652,0.01099,0.393255,0.05205,4727.890625,26.293999,16.746889,8.306449,112.558151,78.444542
0008_r0000_c0000,0008,train,67,56,0,0,64,64,230,3866,5.6152,kept,True,29,8,2392,0.357009,0.111629,0.368921,0.101833,0.375566,0.093146,0.364901,0.078625,0.233907,0.04784,0.233937,0.04331,-0.010714,0.026441,-0.001689,0.042899,0.207336,0.189735,5665.604004,25.864933,14.047186,5.524248,208.680695,125.48584
0008_r0032_c0000,0008,train,67,56,32,0,64,64,140,3956,3.418,kept,True,29,8,2392,0.377089,0.121453,0.387981,0.110757,0.39291,0.100525,0.373933,0.084296,0.21409,0.055171,0.218154,0.052644,-0.020767,0.029404,0.010423,0.049934,0.269396,0.220828,5682.995117,17.254204,13.256375,6.764652,155.915344,108.783447
0010_r0000_c0000,0010,train,63,57,0,0,64,64,285,3811,6.958,kept,True,1,7,505,0.385361,0.092671,0.398081,0.084008,0.405836,0.078302,0.397691,0.069148,0.259024,0.032914,0.248891,0.026237,-0.008289,0.016298,-0.003153,0.025891,0.20001,0.128749,5633.198242,41.982483,15.670557,5.813556,192.983612,142.347031
0011_r0000_c0000,0011,train,92,64,0,0,64,64,728,3368,17.7734,kept,True,4,0,256,0.286709,0.090336,0.306392,0.082023,0.320549,0.076024,0.331815,0.062013,0.303327,0.034885,0.289434,0.031445,0.02202,0.034009,-0.04774,0.049701,-0.008103,0.157123,5454.124023,60.058887,21.027971,6.99589,221.249832,142.359024
0011_r0032_c0000,0011,train,92,64,32,0,64,64,662,3434,16.1621,kept,True,4,0,256,0.33274,0.10528,0.347922,0.094517,0.358525,0.087302,0.359978,0.07431,0.281938,0.038551,0.272862,0.034567,0.00578,0.023064,-0.02376,0.03772,0.089383,0.167563,5559.827148,67.706207,21.268089,6.27446,250.153168,133.801361
0012_r0000_c0000,0012,train,89,85,0,0,64,64,1013,3083,24.7314,kept,True,7,11,1651,0.247619,0.059194,0.269541,0.056315,0.283434,0.054232,0.298478,0.044936,0.286356,0.048876,0.275336,0.039427,0.028635,0.037209,-0.054868,0.050744,-0.031764,0.12864,5428.135742,36.142555,14.806343,7.385112,160.773743,134.064819
0012_r0000_c0032,0012,train,89,85,0,32,64,64,842,3254,20.5566,kept,True,7,11,1651,0.254151,0.080966,0.275128,0.075489,0.290206,0.070831,0.308798,0.054497,0.306377,0.03462,0.289886,0.031728,0.037784,0.044749,-0.067822,0.06122,-0.066016,0.15607,5409.720703,41.231319,17.025105,7.283734,165.581299,141.059814
0012_r0032_c0000,0012,train,89,85,32,0,64,64,918,3178,22.4121,kept,True,7,11,1651,0.309269,0.089034,0.328031,0.081098,0.339018,0.071887,0.337492,0.054201,0.277852,0.06989,0.26542,0.063074,0.00242,0.044567,-0.022108,0.062273,0.079177,0.219976,5484.632812,43.681812,16.83284,8.612541,202.821457,132.951492
0012_r0032_c0032,0012,train,89,85,32,32,64,64,704,3392,17.1875,kept,True,7,11,1651,0.325421,0.096322,0.3424,0.086315,0.354357,0.079658,0.357534,0.067495,0.290577,0.038358,0.279426,0.033844,0.00808,0.024744,-0.028319,0.038646,0.068901,0.158147,5496.632812,65.102806,22.498604,6.15957,223.826477,146.442993
0013_r0000_c0000,0013,train,99,114,0,0,64,64,1131,2965,27.6123,kept,True,29,14,5098,0.2047,0.053251,0.228322,0.048729,0.238991,0.041985,0.250247,0.032158,0.250449,0.053469,0.255909,0.048664,0.02561,0.03721,-0.050646,0.054491,-0.043273,0.180426,5457.177734,54.510025,16.963814,10.368878,151.802353,59.609013
0013_r0000_c0032,0013,train,99,114,0,32,64,64,1905,2191,46.5088,kept,True,29,14,5098,0.203809,0.047449,0.226855,0.044404,0.238864,0.039581,0.256117,0.029166,0.262137,0.049524,0.262223,0.043018,0.037899,0.044514,-0.065692,0.061013,-0.069548,0.161329,5414.164062,38.27914,15.454665,9.163777,132.581024,85.698631
0013_r0000_c0064,0013,train,99,114,0,64,64,64,937,3159,22.876,kept,True,29,14,5098,0.202014,0.056457,0.223681,0.052477,0.237332,0.046769,0.264059,0.030014,0.281385,0.045434,0.268817,0.039131,0.059002,0.052572,-0.091878,0.071796,-0.117191,0.169226,5375.225586,26.313295,13.13902,7.867251,125.186516,98.075943
0013_r0032_c0000,0013,train,99,114,32,0,64,64,1404,2692,34.2773,kept,True,29,14,5098,0.271671,0.101814,0.290527,0.094719,0.293147,0.082318,0.287374,0.063174,0.215007,0.069268,0.223979,0.06685,-0.003576,0.04143,-0.006137,0.061834,0.137835,0.243582,5422.094238,18.613472,10.893042,8.360209,194.671143,113.332039
0013_r0032_c0032,0013,train,99,114,32,32,64,64,1943,2153,47.4365,kept,True,29,14,5098,0.241434,0.056289,0.262847,0.054199,0.273133,0.051427,0.283391,0.046327,0.259242,0.056711,0.258751,0.046562,0.020394,0.03636,-0.041108,0.050299,0.008665,0.142636,5418.930664,25.529713,13.168396,7.449726,167.039154,128.520386
0013_r0032_c0064,0013,train,99,114,32,64,64,64,702,3394,17.1387,kept,True,29,14,5098,0.229208,0.055238,0.250808,0.05215,0.265347,0.04957,0.285965,0.038435,0.292859,0.043501,0.279201,0.034501,0.041295,0.040121,-0.071279,0.053893,-0.080459,0.1291,5401.749023,32.081131,15.077358,6.657062,137.241928,127.964981
0013_r0064_c0000,0013,train,99,114,64,0,64,64,303,3793,7.3975,kept,True,29,14,5098,0.328713,0.1064,0.347055,0.096473,0.347288,0.081016,0.335318,0.059248,0.225055,0.086988,0.230468,0.083752,-0.012173,0.043754,0.007055,0.066212,0.21183,0.259031,5429.786133,23.990555,13.139518,10.192125,233.43248,130.945724
0013_r0064_c0032,0013,train,99,114,64,32,64,64,356,3740,8.6914,kept,True,29,14,5098,0.26475,0.064691,0.286599,0.06135,0.299468,0.057081,0.314024,0.045516,0.28597,0.055549,0.273913,0.045997,0.027674,0.039256,-0.051793,0.054758,-0.000218,0.148265,5440.514648,23.753,15.999496,8.303988,190.337692,143.098724
0013_r0064_c0064,0013,train,99,114,64,64,64,64,53,4043,1.2939,kept,True,29,14,5098,0.256112,0.060106,0.277453,0.056362,0.29331,0.052585,0.309471,0.038727,0.301232,0.043192,0.281421,0.036651,0.031037,0.0383,-0.060953,0.051958,-0.045275,0.129393,5427.524902,27.236839,16.958357,6.352655,135.275513,132.847427
0014_r0000_c0000,0014,train,124,121,0,0,64,64,62,4034,1.5137,kept,True,4,7,1380,0.179668,0.041864,0.21748,0.052877,0.23948,0.055272,0.266163,0.044,0.303684,0.032366,0.297044,0.038897,0.058823,0.049576,-0.107333,0.059128,-0.172454,0.113511,5404.417969,82.119728,22.888269,11.916766,132.427643,41.943825
0014_r0000_c0032,0014,train,124,121,0,32,64,64,826,3270,20.166,kept,True,4,7,1380,0.161403,0.041467,0.191525,0.045647,0.211026,0.044949,0.241687,0.036866,0.287705,0.029322,0.276562,0.030734,0.071693,0.052672,-0.121289,0.064608,-0.205509,0.121422,5326.947754,59.29681,19.125933,11.501679,113.528336,57.672424
0014_r0000_c0064,0014,train,124,121,0,64,64,64,805,3291,19.6533,kept,True,4,7,1380,0.17868,0.060826,0.203764,0.057514,0.221398,0.053149,0.255776,0.040206,0.297567,0.027189,0.275204,0.02582,0.077417,0.052648,-0.122008,0.067891,-0.196881,0.130559,5266.574707,40.507736,14.532602,8.888278,157.637344,128.066971
0014_r0032_c0000,0014,train,124,121,32,0,64,64,1265,2831,30.8838,kept,True,4,7,1380,0.181225,0.051921,0.205123,0.050287,0.22169,0.045685,0.255457,0.030592,0.293856,0.037226,0.275476,0.036552,0.076629,0.051071,-0.118431,0.068546,-0.183945,0.152656,5344.291016,25.489775,9.957388,8.274406,105.20105,80.621582
0014_r0032_c0032,0014,train,124,121,32,32,64,64,2414,1682,58.9355,kept,True,4,7,1380,0.172683,0.044673,0.195554,0.043421,0.212492,0.039787,0.247485,0.031499,0.294641,0.029322,0.274308,0.026412,0.079747,0.049456,-0.12355,0.064259,-0.207614,0.12071,5316.273926,22.346239,9.170488,5.433402,114.089882,109.858162
0014_r0032_c0064,0014,train,124,121,32,64,64,64,1338,2758,32.666,kept,True,4,7,1380,0.198538,0.061641,0.221806,0.05912,0.238231,0.055365,0.270919,0.043861,0.307597,0.027222,0.285191,0.02495,0.06977,0.047826,-0.108504,0.062179,-0.173085,0.120986,5306.603516,41.646568,14.447483,7.312717,220.721527,139.810989
0014_r0064_c0000,0014,train,124,121,64,0,64,64,1394,2702,34.0332,kept,True,4,7,1380,0.209254,0.058724,0.230511,0.055321,0.245715,0.050246,0.27408,0.034581,0.298583,0.038202,0.281215,0.034241,0.059735,0.047914,-0.09456,0.065435,-0.13441,0.151891,5353.752441,22.906075,10.087934,7.164424,133.879349,126.907097
0014_r0064_c0032,0014,train,124,121,64,32,64,64,1803,2293,44.0186,kept,True,4,7,1380,0.224749,0.079442,0.24636,0.075755,0.261804,0.07023,0.286735,0.052351,0.307067,0.029722,0.288983,0.02759,0.053325,0.048318,-0.087872,0.064521,-0.125762,0.149537,5356.15918,42.53653,13.995951,9.750838,198.012054,144.48555
0014_r0064_c0064,0014,train,124,121,64,64,64,64,609,3487,14.8682,kept,True,4,7,1380,0.255832,0.088681,0.278222,0.083364,0.292835,0.077177,0.310794,0.059149,0.310242,0.030745,0.292932,0.028225,0.037428,0.044912,-0.067376,0.061488,-0.07196,0.158207,5392.027344,71.123291,21.312525,8.417451,276.181824,115.387619
0015_r0000_c0000,0015,train,83,114,0,0,64,64,1169,2927,28.54,kept,True,13,14,2826,0.186739,0.04142,0.225486,0.052518,0.247788,0.054728,0.276649,0.039995,0.31078,0.030936,0.302483,0.040554,0.061315,0.050538,-0.108368,0.061435,-0.164467,0.116973,5414.150391,79.370773,22.585596,11.908286,132.575439,43.970768
0015_r0000_c0032,0015,train,83,114,0,32,64,64,1484,2612,36.2305,kept,True,13,14,2826,0.168964,0.044792,0.200039,0.051116,0.219617,0.05121,0.248691,0.040953,0.291432,0.032295,0.28065,0.036164,0.067776,0.048161,-0.115914,0.060464,-0.193716,0.126975,5344.005371,53.840618,17.597748,11.850567,119.395805,61.609825
0015_r0000_c0064,0015,train,83,114,0,64,64,64,556,3540,13.5742,kept,True,13,14,2826,0.161434,0.047082,0.187539,0.046077,0.206114,0.042388,0.243202,0.035149,0.289282,0.026979,0.270612,0.023251,0.086189,0.057287,-0.135931,0.071485,-0.22044,0.12316,5285.327148,37.531891,14.394183,8.586794,100.233826,85.621468
0015_r0032_c0000,0015,train,83,114,32,0,64,64,1030,3066,25.1465,kept,True,13,14,2826,0.191596,0.060857,0.214553,0.057444,0.22952,0.051382,0.260294,0.031005,0.287231,0.04144,0.270753,0.039399,0.069515,0.056424,-0.106663,0.076332,-0.149751,0.177853,5353.167969,27.319206,10.087655,8.919472,107.978188,79.868477
0015_r0032_c0032,0015,train,83,114,32,32,64,64,1039,3057,25.3662,kept,True,13,14,2826,0.169862,0.041126,0.1923,0.039293,0.208723,0.034891,0.242836,0.026275,0.293269,0.031422,0.274775,0.027657,0.07871,0.045802,-0.121849,0.060772,-0.211309,0.125129,5325.135254,15.706741,6.929833,4.198794,110.060394,102.905319
0015_r0032_c0064,0015,train,83,114,32,64,64,64,250,3846,6.1035,kept,True,13,14,2826,0.187421,0.054065,0.212037,0.055156,0.228936,0.052106,0.261002,0.041027,0.29851,0.027023,0.279005,0.024784,0.071121,0.053505,-0.112448,0.06888,-0.179968,0.12397,5305.807617,23.119816,10.948708,5.599086,155.346268,139.379578
0016_r0000_c0000,0016,train,95,105,0,0,64,64,1066,3030,26.0254,kept,True,1,23,2313,0.495381,0.07488,0.500512,0.069148,0.504939,0.065254,0.492114,0.058842,0.226408,0.02552,0.224063,0.023738,-0.012167,0.009303,0.007109,0.013378,0.370289,0.091202,5528.929199,87.814201,24.992737,10.257513,117.159012,52.579819
0016_r0000_c0032,0016,train,95,105,0,32,64,64,1459,2637,35.6201,kept,True,1,23,2313,0.56338,0.077659,0.564017,0.072724,0.565844,0.06937,0.548075,0.062273,0.225562,0.028934,0.214636,0.025962,-0.015414,0.008973,0.013389,0.012191,0.425928,0.075317,5434.719238,42.536015,17.452219,9.397283,124.679054,90.892456
0016_r0000_c0064,0016,train,95,105,0,64,64,64,557,3539,13.5986,kept,True,1,23,2313,0.589178,0.073546,0.587447,0.069036,0.588119,0.065828,0.569628,0.059107,0.225353,0.031761,0.213366,0.028629,-0.01552,0.008888,0.014612,0.012117,0.444274,0.072282,5397.51416,26.638214,15.875101,7.818098,122.118713,101.85968
0016_r0032_c0000,0016,train,95,105,32,0,64,64,1270,2826,31.0059,kept,True,1,23,2313,0.552962,0.11148,0.554794,0.103436,0.556333,0.097424,0.536332,0.087138,0.224373,0.040141,0.212651,0.034936,-0.01721,0.010335,0.014748,0.016241,0.414882,0.126641,5506.099609,53.873302,24.479435,11.927851,154.078171,112.48481
0016_r0032_c0032,0016,train,95,105,32,32,64,64,1433,2663,34.9854,kept,True,1,23,2313,0.601725,0.087911,0.599709,0.081922,0.598595,0.07706,0.574412,0.067916,0.218623,0.040216,0.204424,0.033686,-0.019998,0.009434,0.020406,0.014098,0.462636,0.103349,5468.15918,50.341972,21.666553,12.295055,166.625458,123.954414
0016_r0032_c0064,0016,train,95,105,32,64,64,64,403,3693,9.8389,kept,True,1,23,2313,0.599251,0.089594,0.597887,0.083614,0.597501,0.078994,0.574321,0.069935,0.221219,0.037144,0.207245,0.031798,-0.019108,0.009857,0.018857,0.014668,0.455967,0.102761,5439.907227,49.506027,22.216869,11.247869,119.830322,96.08831
0017_r0000_c0000,0017,train,80,99,0,0,64,64,1252,2844,30.5664,kept,True,16,29,4368,0.352472,0.098336,0.369853,0.088651,0.38349,0.082488,0.382405,0.075769,0.270893,0.024367,0.246268,0.02065,0.000272,0.014313,-0.020802,0.026825,0.136911,0.13614,5700.796875,41.211014,14.027575,8.04748,218.072144,107.263588
0017_r0000_c0032,0017,train,80,99,0,32,64,64,1276,2820,31.1523,kept,True,16,29,4368,0.407945,0.152103,0.422244,0.139724,0.432646,0.130451,0.423632,0.116069,0.258974,0.041484,0.238826,0.035036,-0.00674,0.016766,-0.009716,0.031463,0.208439,0.195383,5732.801758,38.441086,19.172991,10.385605,193.751709,99.016327
0017_r0000_c0064,0017,train,80,99,0,64,64,64,237,3859,5.7861,kept,True,16,29,4368,0.515748,0.146811,0.522062,0.134421,0.526074,0.124832,0.506118,0.110738,0.246255,0.054325,0.225744,0.044936,-0.017199,0.012913,0.010905,0.023717,0.3382,0.18291,5731.283203,52.496788,23.904938,10.159048,145.822159,113.167336
0017_r0032_c0000,0017,train,80,99,32,0,64,64,989,3107,24.1455,kept,True,16,29,4368,0.391598,0.124442,0.410743,0.113196,0.425188,0.103698,0.41736,0.092606,0.264964,0.039503,0.237789,0.028514,-0.006824,0.014512,-0.014277,0.032453,0.19512,0.174405,5713.605469,26.098482,13.371511,6.339509,239.692566,104.138199
0017_r0032_c0032,0017,train,80,99,32,32,64,64,981,3115,23.9502,kept,True,16,29,4368,0.51055,0.190001,0.519836,0.176595,0.524253,0.164823,0.501635,0.142983,0.21838,0.065015,0.20584,0.055774,-0.017798,0.017688,0.009281,0.031928,0.372809,0.24266,5754.184082,33.311161,16.717302,8.684733,255.604462,97.907181
0017_r0032_c0064,0017,train,80,99,32,64,64,64,205,3891,5.0049,kept,True,16,29,4368,0.58466,0.208982,0.589225,0.192803,0.588423,0.179341,0.554786,0.15571,0.192472,0.07724,0.183903,0.06707,-0.025678,0.016272,0.022311,0.030062,0.47133,0.265522,5781.702148,35.75967,21.4652,9.356449,258.623077,92.113937
0018_r0000_c0000,0018,train,84,79,0,0,64,64,1285,2811,31.3721,kept,True,12,17,2580,0.268559,0.087937,0.288937,0.081788,0.302811,0.075345,0.318622,0.055889,0.306863,0.031225,0.292673,0.02902,0.032183,0.04528,-0.059145,0.062032,-0.043996,0.161655,5409.742188,59.098778,18.48143,8.040619,234.50177,137.703064
0018_r0000_c0032,0018,train,84,79,0,32,64,64,900,3196,21.9727,kept,True,12,17,2580,0.290748,0.085966,0.310225,0.079125,0.323369,0.072114,0.33594,0.053783,0.309726,0.031219,0.294131,0.028602,0.024493,0.038217,-0.048475,0.052832,-0.011594,0.152335,5443.874023,72.92543,20.993473,7.793212,304.803894,85.027969
0018_r0032_c0000,0018,train,84,79,32,0,64,64,1035,3061,25.2686,kept,True,12,17,2580,0.3351,0.105301,0.350852,0.093893,0.361464,0.086598,0.365328,0.073513,0.296113,0.031523,0.284971,0.030347,0.009543,0.023378,-0.027759,0.03795,0.066029,0.160758,5500.774414,61.010159,22.975502,6.144292,267.433716,130.060959
0018_r0032_c0032,0018,train,84,79,32,32,64,64,725,3371,17.7002,kept,True,12,17,2580,0.357245,0.098942,0.369442,0.087516,0.377651,0.079615,0.379451,0.065905,0.295141,0.028994,0.27948,0.028795,0.00608,0.022827,-0.02014,0.036888,0.097544,0.156134,5538.984375,44.734467,18.858688,6.735079,315.863708,79.487869
0019_r0000_c0000,0019,train,92,80,0,0,64,64,1281,2815,31.2744,kept,True,4,16,1856,0.236556,0.086042,0.258765,0.082303,0.273716,0.076722,0.295295,0.059097,0.307184,0.03036,0.289865,0.028194,0.045257,0.046669,-0.077251,0.063294,-0.101785,0.154308,5364.154297,58.223427,17.348297,9.646134,226.976593,140.508652
0019_r0000_c0032,0019,train,92,80,0,32,64,64,1023,3073,24.9756,kept,True,4,16,1856,0.257053,0.077366,0.279639,0.071652,0.294238,0.066483,0.313022,0.052103,0.315483,0.026637,0.29736,0.024921,0.03583,0.037626,-0.064173,0.052593,-0.070941,0.138024,5404.018555,75.524895,22.855955,6.838405,294.811554,98.199463
